Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
France,FRA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,103.145,103.26,107.258,100.229,103.563,,103.735,104.563,104.417,105.213,109.842,105.366,105.477,,104.717,104.253,103.916,103.603,103.377,102.99,102.432,102.072,101.651,98.95,98.661,98.911,99.124,99.271,99.507,99.744,99.964,99.904,100.072,99.907,99.709,99.649,99.602,99.572,99.77,100.164,100.486,,
Faeroe Islands,FRO,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,89.788,94.579,96.512,,100.168,97.157,,,,,,,,,,,,,,,,,,,,,,,,,,,101.86,102.209,,,,,,,,
Gabon,GAB,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,84.009,84.445,85.35,85.407,,87.461,88.494,88.777,89.529,91.256,91.268,91.278,91.501,91.957,92.689,92.478,93.749,93.886,97.234,,,,,97.674,95.934,97.511,,,97.031,,,,,,,,,,,,,,
United Kingdom,GBR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,99.909,99.841,99.955,100.217,100.46,100.734,100.9,101.02,101.287,101.523,101.825,101.809,101.719,101.47,101.594,102.093,101.501,101.459,101.677,101.879,102.182,101.821,,,,,,100.243,100.379,100.552,100.5,100.811,101.918,101.568,101.586,101.86,101.448,101.002,100.752,100.167,100.454,,
Georgia,GEO,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,82.509,,,,,87.448,,,,,98.281,96.674,95.853,93.536,93.953,98.196,97.34,,98.47,98.46,100.017,99.222,97.82,97.176,96.873,100.353,,96.719,,,,,
Ghana,GHA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,76.435,,76.925,77.28,76.043,75.271,75.087,75.188,75.636,76.549,76.434,76.56,75.491,75.034,74.245,,75.699,76.754,77.81,78.068,,,,,83.994,,,,88.648,89.744,91.089,91.19,93.552,90.379,91.66,93.568,94.478,94.807,94.892,,95.713,92.235,
Guinea,GIN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,40.173,,,,,,,,,,46.38,45.914,44.871,44.869,43.115,43.249,41.449,,41.575,41.923,42.916,,43.429,45.12,,48.776,,,56.19,,62.487,64.767,67.71,68.841,71.194,73.093,74.881,75.719,75.854,,78.245,77.221,
"Gambia, The",GMB,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,41.244,,42.631,44.334,47.185,47.494,46.248,47.184,46.315,47.779,50.734,,53.231,55.552,56.213,57.367,58.655,,58.325,,,65.272,66.535,68.154,69.073,73.424,,,,,,,,,,,,100.959,100.869,99.561,,,
Guinea-Bissau,GNB,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,45.028,64.228,,,,54.14,,46.893,44.277,44.023,44.534,43.962,45.666,46.53,48.135,,52.269,52.381,54.586,,,,,,,,,,,64.998,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,68.819,,,,,,,,,,,,,,,,,,,,,,81.642,86.549,,,,,,71.874,,84.91,,,,,,,,,,,
Greece,GRC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,90.372,90.38,90.125,89.736,89.577,90.065,90.73,92.108,92.979,93.321,95.13,96.198,98.616,99.126,99.207,98.762,97.99,97.753,97.923,98.597,98.71,99.295,100.929,98.197,101.815,101.85,102.479,102.622,102.547,103.46,102.768,101.079,100.612,99.555,98.585,98.636,97.366,,,97.704,,,
Grenada,GRD,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,95.122,99.457,,,,,100.933,100.726,100.686,100.837,107.2,108.528,106.394,102.524,102.183,93.889,,96.03,,,,,104.328,,,,,,,,,103.261,98.696,101.316,99.301,,97.938,93.04,96.804,99.472,,,
Greenland,GRL,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,80.359,81.863,82.279,82.187,83.664,84.012,84.584,84.984,83.88,83.817,84.182,85.038,86.799,85.916,,,,,,,,,,86.975,,,86.096,,86.938,85.984,88.902,89.451,89.963,,91.012,91.628,92.243,92.957,93.688,94.715,94.906,94.997,,
Guam,GUM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,98.189,97.197,97.17,97.713,,98.963,,,,,,,,98.447,99.475,100.04,99.108,,,,,,,,,,,,100.333,,97.82,,,,102.055,,102.554,107.142,108.287,112.217,113.855,,
High income,HIC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,92.467,92.447,92.401,93.709,94.437,95.81,97.17,98.083,99.293,99.308,99.636,100.038,99.715,99.699,99.779,99.852,100.075,100.048,99.888,99.807,99.887,100.038,100.08,99.93,99.752,99.985,99.843,100.253,100.673,100.459,99.724,100.004,99.699,99.809,99.799,99.675,99.513,99.486,99.354,99.554,99.299,99.286,,
"Hong Kong SAR, China",HKG,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,92.658,93.321,93.911,94.337,94.321,95.156,96.225,98.012,100.004,100.596,101.236,101.789,102.335,102.163,101.757,101.937,101.959,102.098,,,,,,,,100.911,,,,,98.336,97.672,98.141,98.46,98.816,98.786,98.645,98.439,98.586,98.509,98.765,98.82,
Honduras,HND,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,99.443,,,,,,,,,,100.738,,101.852,101.817,103.417,,,,,,,104.445,,,,,,,,,,,,,,,105.586,106.871,107.296,,107.152,106.872,106.839,
Heavily indebted poor countries (HIPC),HPC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,61.94,62.184,62.556,62.906,63.779,64.141,65.006,66.117,67.913,68.167,69.357,70.167,72.844,73.392,74.21,73.733,74.537,76.047,75.493,76.105,76.558,77.388,77.811,77.966,77.76,77.433,77.316,78.019,78.538,79.442,80.438,80.893,81.125,82.012,81.454,83.487,84.542,85.176,86.058,87.043,87.8,88.336,,
Croatia,HRV,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.324,101.585,101.453,101.246,100.72,100.5,100.674,100.968,100.975,100.967,100.821,,101.963,101.906,102.098,102.307,102.441,104.758,102.548,,
Haiti,HTI,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,91.946,93.327,95.588,94.941,95.882,96.394,97.087,97.334,97.865,97.98,98.479,99.571,99.569,99.576,99.83,100.115,100.452,100.703,100.922,100.332,100.224,100.181,,101.871,102.037,101.872,101.55,100.937,100.346,99.895,99.891,99.88,99.562,98.831,98.67,98.813,98.98,98.435,98.782,98.616,98.273,,
Indonesia,IDN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,80.623,80.039,79.932,78.685,77.267,81.684,83.694,83.695,83.955,,,84.001,85.897,89.846,90.156,,,,90.507,91.76,92.382,93.134,93.921,92.324,93.172,93.087,93.168,,,,,97.846,98.092,98.378,98.908,97.904,98.76,98.445,99.004,98.843,102.655,102.784,,
Isle of Man,IMN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,58.472,58.804,59.751,,60.515,60.872,61.279,60.5,,61.581,62.36,62.016,64.411,63.104,,65.965,66.887,67.739,67.365,,,,73.195,74.333,74.314,75.007,76.203,,78.162,78.656,79.393,81.422,89.817,,,,92.621,95.093,97.41,97.387,98.4,,
Not classified,INX,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,102.652,102.086,103.07,103.138,103.88,103.69,103.945,104.521,104.749,105.494,105.376,105.325,104.88,104.641,104.576,104.758,104.519,104.265,104.403,104.758,104.573,104.133,101.894,102.236,102.869,103.751,104.12,102.161,102.146,102.853,103.156,103.31,103.073,102.905,103.599,102.883,102.498,102.464,102.21,101.807,100.993,,
"Iran, Islamic Rep.",IRN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,57.015,57.54,58.205,58.28,60.426,62.612,64.121,,,,,,,,76.926,,,79.217,,82.457,84.747,85.639,86.884,87.841,89.013,,91.714,,93.213,94.047,94.465,94.807,94.824,96.343,96.95,97.411,99.77,97.732,96.857,96.539,96.205,95.852,
Iraq,IRQ,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,42.627,42.4,43.411,44.902,48.3,50.24,54.849,58.036,69.675,73.721,77.534,78.936,79.352,77.924,76.482,75.906,76.777,79.007,77.3,,,,78.746,,,79.07,,,78.053,77.291,,,81.248,79.101,,,81.391,,,,,,
Iceland,ISL,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,91.84,,,,92.709,92.278,94.531,,,,,,96.096,95.699,,96.23,,97.669,97.624,,,,99.001,98.967,98.42,98.908,,100.523,101.592,102.403,102.303,102.322,102.562,100.531,99.962,100.96,103.195,102.087,101.85,101.228,100.654,,
Israel,ISR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,103.872,103.673,104.242,104.738,104.396,103.956,104.618,105.009,,,103.824,104.726,104.907,104.94,104.413,105.084,104.022,104.472,104.037,102.545,102.695,101.872,,,,,99.046,99.503,99.557,99.152,98.779,99.914,100.002,100.265,100.653,101.151,101.283,101.347,,,
Italy,ITA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,91.671,92.048,92.545,93.071,93.693,94.056,94.462,95.293,95.995,96.925,97.67,98.387,98.584,98.792,98.936,98.992,98.896,99.05,99.105,100.11,99.502,99.549,100.564,100.913,98.897,99.264,99.501,99.024,99.212,97.55,98.306,97.1,99.14,99.398,99.199,99.148,99.084,99.103,99.232,99.117,98.767,,
Jamaica,JAM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,102.439,102.089,106.11,106.305,104.259,,104.292,106.019,105.6,,104.442,104.081,103.819,105.185,101.131,102.277,103.649,,102.398,,99.943,,,,,,100.152,100.323,99.933,100.168,100.169,100.235,,,,,,,,,
Jordan,JOR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,78.109,80.766,82.556,84.222,85.89,87.326,89.265,90.926,93.908,96.939,98.365,100.281,102.014,103.034,105.421,104.043,104.007,105.686,102.852,101.695,101.701,103.944,104.148,103.861,,102.699,,,103.142,103.082,,102.301,102.112,101.447,101.379,102.424,101.982,101.144,,100.737,100.739,,
Japan,JPN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,99.508,100.074,100.256,100.421,100.624,100.743,100.716,100.755,100.791,100.904,101.083,101.158,101.252,101.281,101.072,101.14,101.076,101.111,101.183,101.306,100.885,100.861,101.126,100.786,100.757,,,100.732,100.672,100.584,100.513,100.41,100.284,100.149,100.106,100.128,100.098,100.049,100.104,100.059,100.089,,
Kazakhstan,KAZ,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.547,,,,107.094,103.947,100.408,101.784,99.15,98.884,100.111,98.338,98.155,98.104,98.543,98.403,98.053,98.251,98.405,98.444,
Kenya,KEN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,67.048,69.247,71.121,73.312,78.177,81.094,,,,,87.496,88.742,89.223,89.182,90.312,89.842,90.553,90.765,91.71,,,,,,,,,,,96.659,97.549,96.785,95.074,97.115,94.021,95.79,96.009,95.129,95.843,95.364,,,,
Kyrgyz Republic,KGZ,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,97.03,,,,,97.747,,,98.624,100.284,,102.088,,,,,,,100.712,100.999,99.19,99.395,100.026,100.065,99.469,99.593,99.723,99.69,99.915,98.869,99.219,,
Cambodia,KHM,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,66.879,,,,,,,,,,,,,,,,,,,,,,,,,,,79.092,81.207,81.899,83.598,84.839,85.92,87.525,,89.929,90.389,91.635,,,,,
Kiribati,KIR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,91.983,95.462,91.789,,,,93.227,94.419,96.4,94.148,97.384,98.145,98.134,97.481,98.764,99.082,98.07,98.887,99.402,100.049,101.571,102.168,,,105.699,105.933,,103.086,107.322,106.236,108.281,106.725,106.598,109.591,106.924,107.167,108.994,106.925,,,,,
St. Kitts and Nevis,KNA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,97.712,89.983,81.688,101.505,101.683,101.181,,,99.378,100.903,,,,,,,106.175,110.497,108.241,108.573,108.552,103.812,,100.137,102.999,103.983,99.744,102.737,102.696,
"Korea, Rep.",KOR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,88.727,89.339,89.527,89.641,89.742,89.98,90.315,90.946,92.058,94.141,95.468,95.792,95.955,96.827,97.644,98.131,99.319,97.696,97.915,98.276,99.021,99.526,100.052,99.872,101.182,101.588,101.469,100.837,100.365,100.078,100.157,99.939,99.625,99.257,98.987,98.936,98.937,99.089,99.025,98.908,98.758,,
Kosovo,KSV,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,78.828,83.577,83.611,84.437,85.233,87.285,88.286,88.667,90.334,92.011,92.231,93.852,95.575,96.815,96.925,95.879,93.544,92.25,91.684,93.228,,97.331,98.295,100.522,103.954,101.007,103.581,103.454,100.544,99.625,99.45,98.694,99.342,100.27,100.903,99.725,99.818,,,,,,
Latin America & Caribbean (developing only),LAC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,95.982,96.355,96.137,96.639,97.455,98.382,98.462,98.264,98.339,98.396,98.607,98.915,98.791,98.779,98.659,98.941,99.413,99.619,100.21,100.458,101.043,101.027,100.989,100.875,100.737,100.881,100.54,100.626,100.718,100.865,101.023,101.26,101.324,101.71,101.562,101.6,101.695,101.771,101.899,101.814,101.71,101.625,,
Lao PDR,LAO,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,57.901,64.812,68.271,,,,70.048,80.766,77.116,80.852,81.414,,,,,81.451,,78.961,,77.21,,77.182,76.302,76.313,77.765,78.129,78.707,79.779,81.094,81.254,81.784,82.168,82.718,83.481,83.781,84.765,85.63,86.859,88.148,89.347,90.446,91.617,
Lebanon,LBN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,80.903,,,,,,,,,,,96.382,,,92.785,,,,,,,104.708,,104.927,106.817,105.895,104.847,104.683,104.432,104.282,104.569,100.669,98.073,96.529,95.484,94.714,95.598,95.357,95.589,95.527,95.021,95.285,
Liberia,LBR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,39.554,40.647,42.573,,,45.179,43.884,,50.758,51.692,49.933,,,,,,,,,,,,,,,,,,,72.538,73.38,,,,,,,,,,,88.892,,
Libya,LBY,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,53.428,59.511,66.301,72.274,75.719,78.171,81.09,83.271,84.449,85.065,85.325,,86.807,,,91.422,,,,,,,,,,,,,,,,103.46,101.823,,108.462,106.114,,,,,,,
St. Lucia,LCA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,116.034,103.333,,,,103.35,,,,110.296,105.745,104.37,104.272,107.979,107.306,105.513,,,103.248,102.975,104.399,106.804,,,,100.897,,103.451,106.427,104.248,106.111,103.376,95.298,102.905,100.541,101.253,100.09,99.45,97.291,97.407,97.541,
Latin America & Caribbean (all income levels),LCN,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,96.349,96.682,96.46,96.959,97.705,98.552,98.66,98.434,98.52,98.552,98.747,99.052,98.859,98.874,98.755,99.033,99.478,99.683,100.255,100.498,101.068,101.01,100.985,100.906,100.771,100.907,100.591,100.684,100.77,100.878,101.016,101.242,101.302,101.668,101.493,101.531,101.635,101.67,101.824,101.756,101.694,101.606,,
Least developed countries: UN classification,LDC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,55.607,55.578,57.26,57.219,57.246,58.274,59.443,61.268,62.536,62.897,64.261,66.041,68.391,67.203,69.529,68.858,70.026,70.847,72.479,73.365,74.262,75.527,76.232,76.88,77.479,77.887,78.613,79.821,81.06,82.445,83.757,84.462,85.027,85.712,84.9,87.08,88.035,88.697,89.679,90.183,91.314,91.954,,
Low income,LIC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,59.161,59.21,61.156,61.219,61.751,62.831,63.691,65.4,66.044,66.63,68.029,69.926,72.17,71.064,73.374,72.773,73.892,74.675,76.152,77.008,77.942,78.998,79.77,80.405,80.925,81.181,81.839,82.92,84.038,85.337,86.484,86.927,87.128,87.791,86.599,88.694,89.438,90.018,90.87,91.273,92.471,93.121,,
Liechtenstein,LIE,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.403,92.619,,93.542,92.409,90.633,92.123,88.459,89.291,,
Sri Lanka,LKA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,97.961,,,,,100.996,101.708,101.562,101.825,101.807,102.232,102.226,102.167,102.152,102.165,102.71,102.729,102.99,103.719,102.882,,,,,,,,,,,,,,,101.062,101.047,,
Lower middle income,LMC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,68.482,68.66,68.833,69.182,69.237,69.924,70.588,70.87,71.121,71.764,71.898,72.258,72.327,73.564,72.746,74.023,75.142,75.967,76.186,76.442,76.688,77.795,78.532,79.575,80.406,80.674,80.997,82.105,83.122,83.695,84.071,84.869,85.808,90.194,90.273,90.597,91.216,91.941,93.316,94.632,94.862,94.804,,
Low & middle income,LMY,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,73.947,73.924,73.971,74.006,74.186,77.15,78.67,79.246,79.639,79.537,79.407,79.145,78.888,79.09,79.061,79.679,80.854,81.73,82.164,82.602,83.071,83.922,84.685,85.39,86.34,86.948,87.552,88.441,89.401,90.071,90.494,91.055,91.49,93.575,93.606,94.241,94.742,95.202,96.011,96.754,96.7,96.806,,
Lesotho,LSO,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,148.495,,147.828,145.218,,143.712,143.286,145.205,146.685,146.191,143.934,139.65,134.742,132.753,129.787,128.698,129.512,131.163,131.245,129.789,128.952,129.473,127.633,125.634,123.646,,119.948,117.557,117.273,114.736,109.817,107.371,106.916,106.638,105.627,105.679,105.582,106.198,106.791,108.47,106.879,106.829,106.688,
Lithuania,LTU,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.39,,101.793,101.175,100.587,99.791,99.588,99.223,98.935,98.371,98.113,98.971,99.085,99.23,99.16,99.062,99.027,97.926,97.302,,
Luxembourg,LUX,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,98.309,98.045,98.819,98.957,99.77,99.368,100.437,99.155,99.475,100.699,87.152,97.22,95.426,95.389,,99.212,99.875,101.935,,,,,,,,,,,102.851,103.493,103.09,102.787,102.54,102.335,102.739,102.146,101.69,101.91,,102.235,102.646,,
Latvia,LVA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.98,102.801,102.157,104.736,103.792,103.822,103.503,101.829,101.503,101.143,100.54,99.751,98.863,98.763,99.244,99.711,100.075,100.016,99.73,98.704,97.943,,
"Macao SAR, China",MAC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,95.916,108.565,112.127,106.814,,,,,,,,,,,,,,,,98.662,,100.285,100.541,,,,,,100.768,100.565,101.428,100.439,100.158,98.92,98.929,99.759,98.14,98.094,,,,,
St. Martin (French part),MAF,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,50.091,51.563,,55.205,55.828,57.295,57.928,59.107,60.185,60.862,61.806,63.076,64.316,64.495,65.062,65.244,65.648,65.794,66.284,69.224,70.087,70.467,71.454,72.671,74.034,75.088,76.222,78.084,80.87,83.218,85.438,86.843,88.021,88.421,88.675,88.996,89.473,89.755,90.411,91.153,91.325,91.361,
Monaco,MCO,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.175,105.314,105.358,105.968,105.673,102.082,,,,98.731,100.997,101.479,101.672,102.133,102.957,102.45,102.707,101.501,101.379,101.054,101.279,101.065,100.882,
Madagascar,MDG,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,82.893,83.58,,84.059,,,,,,,,,,,,,,92.346,94.592,95.534,,,,,,,,,,,,,,,95.652,95.864,96.357,96.395,96.799,,,97.602,
Maldives,MDV,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.499,99.965,99.487,100.428,101.16,101.338,101.41,101.255,102.512,101.284,101.668,,,,,,,,,
Middle East & North Africa (all income levels),MEA,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,58.424,58.378,59.087,59.989,60.729,61.715,63.066,64.366,65.447,67.541,68.824,70.136,71.29,72.496,73.815,75.075,76.137,76.906,77.4,78.684,79.989,81.15,82.53,83.56,84.053,85.457,84.529,86.683,87.689,88.698,89.579,90.355,90.863,91.591,92.212,92.757,93.167,94.14,94.026,94.074,94.189,93.869,,
Mexico,MEX,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,88.677,87.356,,89.166,87.463,86.402,91.825,91.863,93.205,94.235,95.226,95.198,93.83,94.4,94.545,95.972,96.357,96.675,97.321,97.033,97.545,96.663,97.242,97.057,97.116,96.408,95.535,95.534,96.026,96.642,97.286,97.806,98.79,98.62,98.958,99.841,100.811,101.847,102.728,103.144,103.438,,
Marshall Islands,MHL,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.901,,,97.586,104.223,98.719,114.945,100.189,99.017,103.182,101.329,,,,
Middle income,MIC,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,75.45,75.381,75.269,75.303,75.462,78.63,80.233,80.68,81.053,80.921,80.668,80.197,79.679,80.038,79.755,80.503,81.688,82.585,82.928,83.328,83.751,84.603,85.379,86.106,87.123,87.793,88.402,89.288,90.251,90.862,91.207,91.807,92.302,94.641,94.902,95.324,95.817,96.287,97.12,97.96,97.678,97.682,,
"Macedonia, FYR",MKD,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.209,98.324,98.27,97.708,97.82,97.322,97.571,97.431,97.628,98.392,98.272,98.117,98.033,,97.529,97.261,97.705,98.737,,,
Mali,MLI,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,52.233,53.113,57.35,54.485,,52.725,,53.338,54.007,53.698,54.828,54.926,55.1,55.28,,,57.574,57.179,59.186,58.688,58.931,57.719,60.303,61.666,65.324,64.528,63.997,67.332,68.641,71.301,,,72.341,74.605,75.817,77.174,79.169,79.61,80.45,82.114,83.184,83.406,
Malta,MLT,Ratio of girls to boys in primary and secondary education (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,98.202,92.792,94.907,93.187,93.572,93.403,93.861,92.395,91.537,92.68,91.512,92.694,92.462,93.493,94.864,95.44,95.573,95.78,95.622,94.801,94.643,94.37,94.761,93.734,94.907,100.025,,,92.235,100.211,98.211,98.689,98.587,95.203,96.504,,100.506,98.665,93.556,95.028,99.626,,
